Movie Title,Genre_1,Budget_usd,Box Office Revenue_usd,baseline_profit,retention_coefficient
The Martian,Sci-Fi,108000000,630200000,522200000,4.38
The Great Gatsby,Drama,105000000,351000000,246000000,2.51
Point Break,Action,105000000,133700000,28700000,0.96
Ice Age: Collision Course,Adventure,105000000,368300000,263300000,2.63
The Smurfs 2,Adventure,105000000,347500000,242500000,2.48
Rio 2,Family,103000000,500100000,397100000,3.64
The Hangover Part III,Comedy,103000000,362000000,259000000,2.64
RoboCop,Action,100000000,242700000,142700000,1.82
Ben-Hur,Adventure,100000000,41400000,-58600000,0.31
In the Heart of the Sea,Biography,100000000,93900000,-6100000,0.7
Transcendence,Sci-Fi,100000000,103000000,3000000,0.77
The Expendables 2,Action,100000000,305400000,205400000,2.29
Django Unchained,Action,100000000,425400000,325400000,3.19
Abraham Lincoln: Vampire Hunter,Horror,99500000,116400000,16900000,0.88
The Peanuts Movie,Animation,99000000,246200000,147200000,1.87
The Campaign,Comedy,95000000,104900000,9900000,0.83
Ice Age: Continental Drift,Adventure,95000000,877000000,782000000,6.92
Seventh Son,Fantasy,95000000,114200000,19200000,0.9
Kingsman: The Secret Service,Action,94000000,414400000,320400000,3.31
Epic,Adventure,93000000,268400000,175400000,2.16
A Good Day to Die Hard,Action,92000000,304700000,212700000,2.48
The Last Witch Hunter,Action,90000000,140400000,50400000,1.17
The Expendables 3,Action,90000000,206200000,116200000,1.72
Alvin and the Chipmunks: The Road Chip,Comedy,90000000,234800000,144800000,1.96
Now You See Me 2,Thriller,90000000,320900000,230900000,2.67
Percy Jackson: Sea of Monsters,Adventure,90000000,202200000,112200000,1.69
Divergent,Sci-Fi,85000000,288900000,203900000,2.55
Hotel Transylvania,Fantasy,85000000,358400000,273400000,3.16
Safe House,Action,85000000,208100000,123100000,1.84
Mirror Mirror,Fantasy,85000000,183000000,98000000,1.61
22 Jump Street,Action,84500000,331300000,246800000,2.94
Goosebumps,Action,84000000,150200000,66200000,1.34
RED 2,Action,84000000,148100000,64100000,1.32
Hotel Transylvania 2,Fantasy,80000000,473000000,393000000,4.43
Pompeii,Action,80000000,117800000,37800000,1.1
Grown Ups 2,Comedy,80000000,247000000,167000000,2.32
Journey 2: The Mysterious Island,Adventure,79000000,335300000,256300000,3.18
Cloudy with a Chance of Meatballs 2,Family,78000000,274300000,196300000,2.64
The Hunger Games,Action,78000000,694400000,616400000,6.68
Despicable Me 2,Comedy,76000000,970800000,894800000,9.58
Gangster Squad,Action,75000000,105200000,30200000,1.05
Now You See Me,Crime,75000000,351700000,276700000,3.52
The Secret Life of Pets,Adventure,75000000,724900000,649900000,7.25
The Man from U.N.C.L.E.,Action,75000000,109800000,34800000,1.1
Rock of Ages,Musical,75000000,59400000,-15600000,0.59
The SpongeBob Movie: Sponge Out of Water,Adventure,74000000,323400000,249400000,3.28
The Angry Birds Movie,Comedy,73000000,346900000,273900000,3.56
Blackhat,Action,70000000,19700000,-50300000,0.21
The Monuments Men,Drama,70000000,155000000,85000000,1.66
Olympus Has Fallen,Action,70000000,161000000,91000000,1.72
The Legend of Hercules,Action,70000000,61300000,-8700000,0.66
Dracula Untold,Drama,70000000,217100000,147100000,2.33
Dr. Seuss' The Lorax,Family,70000000,348800000,278800000,3.74
Daddy's Home,Comedy,69000000,240400000,171400000,2.61
Fury,Action,68000000,211800000,143800000,2.34
The Watch,Comedy,68000000,68300000,300000,0.75
Ted 2,Comedy,68000000,216700000,148700000,2.39
Annie,Comedy,65000000,133800000,68800000,1.54
Need for Speed,Action,65000000,203300000,138300000,2.35
Lincoln,Drama,65000000,275300000,210300000,3.18
Red Dawn,Action,65000000,48100000,-16900000,0.55
This Means War,Action,65000000,156500000,91500000,1.81
Unbroken,Drama,65000000,163400000,98400000,1.89
The Dictator,Comedy,65000000,179400000,114400000,2.07
Dragon Blade,Action,65000000,120000000,55000000,1.38
Resident Evil: Retribution,Action,65000000,240200000,175200000,2.77
Sin City: A Dame to Kill For,Crime,65000000,39400000,-25600000,0.45
Spy,Action,65000000,235700000,170700000,2.72
Run All Night,Action,61600000,71700000,10100000,0.87
2 Guns,Action,61000000,131900000,70900000,1.62
Les Misérables,Musical,61000000,441800000,380800000,5.43
Gone Girl,Mystery,61000000,369300000,308300000,4.54
Maze Runner: The Scorch Trials,Sci-Fi,61000000,312300000,251300000,3.84
The Mermaid,Sci-Fi,60720000,553800000,493080000,6.84
The Mortal Instruments: City of Bones,Action,60000000,90600000,30600000,1.13
Mortdecai,Action,60000000,47000000,-13000000,0.59
Jack Reacher,Action,60000000,218300000,158300000,2.73
Winter's Tale,Drama,60000000,31100000,-28900000,0.39
Trouble with the Curve,Drama,60000000,49000000,-11000000,0.61
London Has Fallen,Action,60000000,195700000,135700000,2.45
Jack Ryan: Shadow Recruit,Action,60000000,135500000,75500000,1.69
The Boxtrolls,Family,60000000,109300000,49300000,1.37
Joy,Comedy,60000000,101100000,41100000,1.26
The Lego Movie,Family,60000000,469200000,409200000,5.87
ParaNorman,Fantasy,60000000,107100000,47100000,1.34
Kubo and the Two Strings,Fantasy,60000000,27600000,-32400000,0.35
Beautiful Creatures,Fantasy,60000000,60100000,100000,0.75
American Sniper,Drama,58800000,547400000,488600000,6.98
Jersey Boys,Drama,58600000,67700000,9100000,0.87
Deadpool,Action,58000000,782600000,724600000,10.12
Red Tails,Drama,58000000,50400000,-7600000,0.65
The Internship,Comedy,58000000,93000000,35000000,1.2
Concussion,Drama,57000000,50300000,-6700000,0.66
Ghost Rider: Spirit of Vengeance,Action,57000000,132600000,75600000,1.74
Horrible Bosses 2,Comedy,57000000,107700000,50700000,1.42
Monster Hunt,Action,56000000,385200000,329200000,5.16
The Equalizer,Thriller,55000000,192300000,137300000,2.62
Crimson Peak,Horror,55000000,74700000,19700000,1.02
21 Jump Street,Comedy,55000000,201500000,146500000,2.75
Bullet to the Head,Crime,55000000,21900000,-33100000,0.3
The Pirates! Band of Misfits,Comedy,55000000,123000000,68000000,1.68
Black Mass,Action,53000000,99800000,46800000,1.41
Aloha,Romance,52000000,26300000,-25700000,0.38
Ted,Comedy,51000000,549400000,498400000,8.08
Non-Stop,Thriller,50000000,222800000,172800000,3.34
Into the Storm,Adventure,50000000,161700000,111700000,2.43
The Judge,Comedy,50000000,84400000,34400000,1.27
Zoolander 2,Comedy,50000000,56000000,6000000,0.84
Hansel and Gretel: Witch Hunters,Action,50000000,226300000,176300000,3.39
American Reunion,Comedy,50000000,235000000,185000000,3.53
The Book of Life,Family,50000000,99800000,49800000,1.5
Straight Outta Compton,Biography,50000000,201600000,151600000,3.02
Free State of Jones,Drama,50000000,21200000,-28800000,0.32
Dumb and Dumber To,Comedy,50000000,169800000,119800000,2.55
Child 44,Drama,50000000,13000000,-37000000,0.2
Central Intelligence,Action,50000000,212200000,162200000,3.18
Chappie,Sci-Fi,49000000,102100000,53100000,1.56
The Infiltrator,Drama,47500000,15200000,-32300000,0.24
Prisoners,Crime,46000000,122100000,76100000,1.99
13 Hours: The Secret Soldiers of Benghazi,Action,45000000,69400000,24400000,1.16
The Last Stand,Action,45000000,48300000,3300000,0.8
The Impossible,Drama,45000000,180300000,135300000,3
Savages,Crime,45000000,83000000,38000000,1.38
The Walk,Biography,45000000,61200000,16200000,1.02
Step Up: All In,Drama,45000000,86200000,41200000,1.44
Argo,Drama,44500000,232300000,187800000,3.92
The Interview,Action,44000000,11300000,-32700000,0.19
The Hateful Eight,Drama,44000000,155800000,111800000,2.66
The Intern,Comedy,44000000,194600000,150600000,3.32
Taken 2,Action,43000000,376100000,333100000,6.56
The Heat,Action,43000000,229900000,186900000,4.01
The Nut Job,Family,42800000,120900000,78100000,2.12
Here Comes the Boom,Comedy,42000000,73100000,31100000,1.31
Man on a Ledge,Action,42000000,46200000,4200000,0.83
Lucy,Sci-Fi,40000000,463400000,423400000,8.69
The Conjuring 2,Horror,40000000,319500000,279500000,5.99
The Host,Sci-Fi,40000000,63300000,23300000,1.19
Ride Along 2,Comedy,40000000,124200000,84200000,2.33
What to Expect When You're Expecting,Comedy,40000000,84400000,44400000,1.58
42,Biography,40000000,97500000,57500000,1.83
Get Hard,Comedy,40000000,111800000,71800000,2.1
Paul Blart: Mall Cop 2,Action,40000000,107600000,67600000,2.02
One for the Money,Crime,40000000,36900000,-3100000,0.69
The Gunman,Thriller,40000000,24200000,-15800000,0.45
Victor Frankenstein,Horror,40000000,34200000,-5800000,0.64
War Dogs,Crime,40000000,42700000,2700000,0.8
A Thousand Words,Comedy,40000000,22000000,-18000000,0.41
The Other Woman,Comedy,40000000,196700000,156700000,3.69
Zero Dark Thirty,Drama,40000000,132800000,92800000,2.49
Bridge of Spies,Drama,40000000,165500000,125500000,3.1
Blended,Comedy,40000000,128000000,88000000,2.4
Creed,Drama,40000000,173600000,133600000,3.25
Escape from Planet Earth,Comedy,40000000,74600000,34600000,1.4
Mechanic: Resurrection,Action,40000000,7500000,-32500000,0.14
Riddick,Action,40000000,100300000,60300000,1.88
Entourage,Comedy,39000000,49300000,10300000,0.95
Rush,Action,38000000,90200000,52200000,1.78
Dolphin Tale 2,Family,36000000,57800000,21800000,1.2
Parker,Crime,35000000,48500000,13500000,1.04
Premium Rush,Action,35000000,31100000,-3900000,0.67
Stand by Me Doraemon,Animation,35000000,196400000,161400000,4.21
Hitman: Agent 47,Action,35000000,82300000,47300000,1.76
Identity Thief,Action,35000000,174000000,139000000,3.73
Sabotage,Action,35000000,17500000,-17500000,0.38
Alex Cross,Crime,35000000,34600000,-400000,0.74
Neighbors 2: Sorority Rising,Comedy,35000000,107900000,72900000,2.31
Poltergeist,Horror,35000000,95400000,60400000,2.04
Hot Pursuit,Action,35000000,51700000,16700000,1.11
Whiskey Tango Foxtrot,Drama,35000000,24900000,-10100000,0.53
The 5th Wave,Sci-Fi,35000000,110700000,75700000,2.37
Unfinished Business,Comedy,35000000,14400000,-20600000,0.31
Warm Bodies,Comedy,35000000,117000000,82000000,2.51
Wanderlust,Comedy,35000000,24200000,-10800000,0.52
The Incredible Burt Wonderstone,Comedy,34000000,27400000,-6600000,0.6
The Maze Runner,Sci-Fi,34000000,348300000,314300000,7.68
This Is the End,Comedy,32000000,126000000,94000000,2.95
The Master,Drama,32000000,28300000,-3700000,0.66
Criminal,Action,31500000,35600000,4100000,0.85
Vacation,Adventure,31000000,104900000,73900000,2.54
Flight,Drama,31000000,161800000,130800000,3.91
Sicario,Crime,30000000,84900000,54900000,2.12
The Cabin in the Woods,Horror,30000000,66500000,36500000,1.66
Zhong Kui: Snow Girl and the Dark Crystal,Romance,30000000,64470000,34470000,1.61
The Three Stooges,Comedy,30000000,54800000,24800000,1.37
Nine Lives,Comedy,30000000,19100000,-10900000,0.48
Southpaw,Drama,30000000,92000000,62000000,2.3
"Runner, Runner",Crime,30000000,30000000,0,0.75
Deliver Us from Evil,Horror,30000000,87900000,57900000,2.2
Side Effects,Crime,30000000,66700000,36700000,1.67
Get on Up,Drama,30000000,33400000,3400000,0.83
The Butler,Drama,30000000,176600000,146600000,4.42
The Family,Crime,30000000,78400000,48400000,1.96
Vampire Academy,Action,30000000,15400000,-14600000,0.39
Dead Man Down,Action,30000000,18100000,-11900000,0.45
Sisters,Comedy,30000000,105000000,75000000,2.63
Looper,Action,30000000,176500000,146500000,4.41
The Five-Year Engagement,Comedy,30000000,53900000,23900000,1.35
Hope Springs,Romance,30000000,114300000,84300000,2.86
Steve Jobs,Biography,30000000,34400000,4400000,0.86
The Boss,Comedy,29000000,78600000,49600000,2.03
Pitch Perfect 2,Comedy,29000000,287100000,258100000,7.43
A Walk Among the Tombstones,Crime,28000000,58800000,30800000,1.58
Our Brand Is Crisis,Comedy,28000000,8600000,-19400000,0.23
The Big Short,Biography,28000000,133300000,105300000,3.57
Pride and Prejudice and Zombies,Comedy,28000000,16400000,-11600000,0.44
American Ultra,Action,28000000,27100000,-900000,0.73
Money Monster,Drama,27000000,93100000,66100000,2.59
Pain & Gain,Action,26000000,86200000,60200000,2.49
The Raven,Thriller,26000000,29700000,3700000,0.86
Self/less,Drama,26000000,30500000,4500000,0.88
The 33,Drama,26000000,24900000,-1100000,0.72
The Transporter Refueled,Action,25000000,72600000,47600000,2.18
Mother's Day,Comedy,25000000,43800000,18800000,1.31
The Grey,Action,25000000,77300000,52300000,2.32
Jane Got a Gun,Action,25000000,3000000,-22000000,0.09
Draft Day,Drama,25000000,29500000,4500000,0.89
Ride Along,Action,25000000,154500000,129500000,4.63
Parental Guidance,Comedy,25000000,119800000,94800000,3.59
The Night Before,Comedy,25000000,52400000,27400000,1.57
The Age of Adaline,Romance,25000000,65700000,40700000,1.97
The Lucky One,Drama,25000000,99400000,74400000,2.98
The Giver,Sci-Fi,25000000,67000000,42000000,2.01
Shaun the Sheep Movie,Adventure,25000000,106000000,81000000,3.18
Love the Coopers,Romance,24000000,41100000,17100000,1.28
Brick Mansions,Action,23000000,69000000,46000000,2.25
The Secret World of Arrietty,Adventure,23000000,145600000,122600000,4.75
The Grand Budapest Hotel,Comedy,23000000,174800000,151800000,5.7
The Wedding Ringer,Romance,23000000,79800000,56800000,2.6
Eddie the Eagle,Drama,23000000,46200000,23200000,1.51
A Long Way Down,Comedy,22700000,7100000,-15600000,0.23
The Water Diviner,Drama,22500000,30800000,8300000,1.03
Son of God,Drama,22000000,67800000,45800000,2.31
The Hundred-Foot Journey,Drama,22000000,88900000,66900000,3.03
"Hail, Caesar!",Comedy,22000000,22000000,0,0.75
Before I Go to Sleep,Mystery,22000000,15100000,-6900000,0.51
Diary of a Wimpy Kid: Dog Days,Comedy,22000000,77100000,55100000,2.63
Silver Linings Playbook,Drama,21000000,236400000,215400000,8.44
Chasing Mavericks,Biography,20000000,8300000,-11700000,0.31
The World's End,Comedy,20000000,46100000,26100000,1.73
Spotlight,Drama,20000000,88300000,68300000,3.31
Me Before You,Drama,20000000,196200000,176200000,7.36
Little Boy,Drama,20000000,17500000,-2500000,0.66
Silent Hill: Revelation 3D,Horror,20000000,52300000,32300000,1.96
The Man with the Iron Fists,Action,20000000,20300000,300000,0.76
Max,Adventure,20000000,44000000,24000000,1.65
The Cold Light of Day,Action,20000000,16900000,-3100000,0.63
Selma,Drama,20000000,66800000,46800000,2.5
Battle of the Year,Musical,20000000,16500000,-3500000,0.62
Trance,Crime,20000000,24300000,4300000,0.91
John Wick,Action,20000000,86000000,66000000,3.22
Ratchet & Clank,Sci-Fi,20000000,12800000,-7200000,0.48
Texas Chainsaw 3D,Horror,20000000,47200000,27200000,1.77
Bad Moms,Comedy,20000000,124200000,104200000,4.66
Barbershop: The Next Cut,Comedy,20000000,55000000,35000000,2.06
Nerve,Thriller,20000000,47600000,27600000,1.78
Risen,Drama,20000000,46100000,26100000,1.73
Triple 9,Crime,20000000,23400000,3400000,0.88
Lockout,Action,20000000,32200000,12200000,1.21
The Oogieloves in the Big Balloon Adventure,Family,20000000,1100000,-18900000,0.04
My All American,Biography,20000000,2200000,-17800000,0.08
Scary Movie 5,Comedy,20000000,78400000,58400000,2.94
Tammy,Comedy,20000000,100500000,80500000,3.77
The Conjuring,Thriller,20000000,318000000,298000000,11.93
Burnt,Comedy,20000000,36600000,16600000,1.37
Popstar: Never Stop Never Stopping,Comedy,20000000,9500000,-10500000,0.36
A Most Violent Year,Action,20000000,12000000,-8000000,0.45
Hands of Stone,Biography,20000000,1700000,-18300000,0.06
This Is Where I Leave You,Comedy,19800000,41300000,21500000,1.56
Secret in Their Eyes,Crime,19500000,32200000,12700000,1.24
Florence Foster Jenkins,Biography,19000000,31700000,12700000,1.25
Pawn Sacrifice,Biography,19000000,5400000,-13600000,0.21
Won't Back Down,Drama,19000000,5400000,-13600000,0.21
The Young Messiah,Drama,18500000,7200000,-11300000,0.29
Neighbors,Comedy,18000000,270700000,252700000,11.28
My Big Fat Greek Wedding 2,Romance,18000000,88900000,70900000,3.7
Getaway,Action,18000000,11800000,-6200000,0.49
Ricki and the Flash,Comedy,18000000,41300000,23300000,1.72
The Perfect Guy,Thriller,18000000,60300000,42300000,2.51
Raiders of the Lost Ark: The IMAX Experience,Action,18000000,389900000,371900000,16.25
Midnight Special,Sci-Fi,18000000,6200000,-11800000,0.26
Blue Jasmine,Drama,18000000,97500000,79500000,4.06
Let's Be Cops,Action,17000000,138200000,121200000,6.1
The Shallows,Horror,17000000,93200000,76200000,4.11
Pitch Perfect,Comedy,17000000,115400000,98400000,5.09
Evil Dead,Horror,17000000,97500000,80500000,4.3
Magic in the Moonlight,Comedy,16800000,51000000,34200000,2.28
Left Behind,Religious,16000000,27600000,11600000,1.29
Moonrise Kingdom ₪,Comedy,16000000,68300000,52300000,3.2
The Identical,Religious,16000000,2800000,-13200000,0.13
People Like Us,Drama,16000000,12400000,-3600000,0.58
The Woman in Black: Angel of Death,Horror,15000000,48900000,33900000,2.44
10 Cloverfield Lane,Thriller,15000000,108300000,93300000,5.42
Ex Machina,Sci-Fi,15000000,36900000,21900000,1.84
Rock the Kasbah,Comedy,15000000,3400000,-11600000,0.17
Promised Land,Drama,15000000,8100000,-6900000,0.41
The Theory of Everything,Biography,15000000,123700000,108700000,6.18
Keanu,Comedy,15000000,20700000,5700000,1.03
Romeo and Juliet,Drama,15000000,3000000,-12000000,0.15
I,Romance,15000000,65000000,50000000,3.25
Top Gun 3D,Action,15000000,356800000,341800000,17.84
Snitch,Action,15000000,57800000,42800000,2.89
Mama,Horror,15000000,146400000,131400000,7.32
A Most Wanted Man,Thriller,15000000,36200000,21200000,1.81
When the Game Stands Tall,Religious,15000000,30100000,15100000,1.51
Killing Them Softly,Crime,15000000,37900000,22900000,1.9
The Woman in Black,Horror,15000000,128500000,113500000,6.42
Wild,Drama,15000000,52500000,37500000,2.63
The Place Beyond the Pines,Crime,15000000,47000000,32000000,2.35
Krampus,Horror,15000000,61500000,46500000,3.07
The Danish Girl,Drama,15000000,64200000,49200000,3.21
The November Man,Thriller,15000000,34800000,19800000,1.74
Trumbo,Drama,15000000,8200000,-6800000,0.41
Salmon Fishing in the Yemen,Drama,14400000,34600000,20200000,1.8
Good Deeds,Romance,14000000,35600000,21600000,1.91
The Imitation Game,Drama,14000000,233600000,219600000,12.51
Suffragette,Drama,14000000,32000000,18000000,1.71
Fun Size,Comedy,14000000,11400000,-2600000,0.61
The Possession,Horror,14000000,78500000,64500000,4.21
No Good Deed,Crime,13200000,54300000,41100000,3.09
The Fault in Our Stars,Drama,13000000,307200000,294200000,17.72
The Perks of Being a Wallflower,Drama,13000000,33400000,20400000,1.93
I Saw the Light,Drama,13000000,2600000,-10400000,0.15
Woodlawn,Drama,13000000,14400000,1400000,0.83
Eye in the Sky,Thriller,13000000,32800000,19800000,1.89
The Vatican Tapes,Horror,13000000,13500000,500000,0.78
The Call,Mystery,13000000,68600000,55600000,3.96
St. Vincent,Comedy,13000000,54800000,41800000,3.16
Earth to Echo,Sci-Fi,13000000,45300000,32300000,2.61
Room,Drama,13000000,36000000,23000000,2.08
Miracles from Heaven,Drama,13000000,73600000,60600000,4.25
The Drop,Drama,12600000,18700000,6100000,1.11
Top Five,Comedy,12000000,26100000,14100000,1.63
Think Like a Man,Comedy,12000000,96100000,84100000,6.01
Jobs,Biography,12000000,35900000,23900000,2.24
Paper Towns,Romance,12000000,85500000,73500000,5.34
Chronicle,Sci-Fi,12000000,126600000,114600000,7.91
Project X,Comedy,12000000,102700000,90700000,6.42
Project Almanac,Sci-Fi,12000000,33200000,21200000,2.08
Heaven Is for Real,Religious,12000000,101300000,89300000,6.33
Carol,Drama,11800000,40300000,28500000,2.56
If I Stay,Drama,11000000,78900000,67900000,5.38
Irrational Man,Mystery,11000000,27400000,16400000,1.87
Woman in Gold,Drama,11000000,61600000,50600000,4.2
Chef,Comedy,11000000,46000000,35000000,3.14
Insidious: Chapter 3,Horror,11000000,113000000,102000000,7.7
Brooklyn,Drama,11000000,62100000,51100000,4.23
Sinister 2,Horror,10000000,52900000,42900000,3.97
Big Eyes,Biography,10000000,29300000,19300000,2.2
The Purge: Election Year,Horror,10000000,105600000,95600000,7.92
The Boy,Horror,10000000,64200000,54200000,4.81
The Collection,Horror,10000000,8900000,-1100000,0.67
Friends with Kids,Comedy,10000000,12200000,2200000,0.92
By the Sea,Drama,10000000,3300000,-6700000,0.25
Mud,Drama,10000000,32600000,22600000,2.44
The Forest,Horror,10000000,37600000,27600000,2.82
Cesar Chavez,Drama,10000000,6700000,-3300000,0.5
Danny Collins,Comedy,10000000,8200000,-1800000,0.61
One Direction: This Is Us,Documentary,10000000,68500000,58500000,5.14
The Iceman,Drama,10000000,4400000,-5600000,0.33
The Best Exotic Marigold Hotel ₪,Comedy,10000000,136800000,126800000,10.26
The Second Best Exotic Marigold Hotel,Comedy,10000000,86000000,76000000,6.45
Paranormal Activity: The Ghost Dimension,Horror,10000000,78100000,68100000,5.86
Don't Breathe,Thriller,9900000,28300000,18400000,2.14
Truth,Drama,9600000,5400000,-4200000,0.42
The Duff,Comedy,8500000,43500000,35000000,3.84
Nightcrawler,Drama,8500000,50300000,41800000,4.44
71,Action,8100000,2900000,-5200000,0.27
Enough Said,Comedy,8000000,25300000,17300000,2.37
The Single Moms Club,Comedy,8000000,16300000,8300000,1.53
A Walk in the Woods,Adventure,8000000,36000000,28000000,3.38
That Awkward Moment,Comedy,8000000,40500000,32500000,3.8
Me and Earl and the Dying Girl,Comedy,8000000,9100000,1100000,0.85
The Bling Ring,Comedy,8000000,19100000,11100000,1.79
"Jeff, Who Lives at Home",Comedy,7500000,7500000,0,0.75
Iron Sky,Comedy,7500000,8100000,600000,0.81
End of Watch,Action,7000000,48100000,41100000,5.15
Devil's Due,Horror,7000000,36900000,29900000,3.95
Beyond the Lights,Romance,7000000,14600000,7600000,1.56
The East,Crime,6500000,2400000,-4100000,0.28
Annabelle,Horror,6500000,256900000,250400000,29.64
Veronica Mars,Mystery,6000000,3500000,-2500000,0.44
The Lady in the Van,Comedy,6000000,41400000,35400000,5.18
Wish I Was Here,Drama,6000000,5500000,-500000,0.69
"The Way, Way Back",Comedy,5000000,5000000,0,0.75
The Perfect Match,Romance,5000000,10400000,5400000,1.56
Insidious: Chapter 2,Horror,5000000,161900000,156900000,24.29
The Last Exorcism Part II,Horror,5000000,15100000,10100000,2.27
"As Above, So Below",Horror,5000000,5000000,0,0.75
God's Not Dead 2,Religious,5000000,23500000,18500000,3.53
What Maisie Knew,Drama,5000000,2700000,-2300000,0.41
The Visit,Horror,5000000,98500000,93500000,14.77
Kill the Messenger,Crime,5000000,2500000,-2500000,0.38
The Gift,Thriller,5000000,59000000,54000000,8.85
No Escape,Action,5000000,54400000,49400000,8.16
Paranormal Activity 4,Thriller,5000000,142800000,137800000,21.42
Ouija,Horror,5000000,103600000,98600000,15.54
90 Minutes in Heaven,Drama,5000000,4800000,-200000,0.72
Moms' Night Out,Religious,5000000,10500000,5500000,1.58
Jem and the Holograms,Musical,5000000,2300000,-2700000,0.35
Race,Drama,5000000,23500000,18500000,3.53
Lights Out,Horror,4900000,125900000,121000000,19.27
The Raid 2,Action,4500000,6600000,2100000,1.1
The Second Mother,Drama,4000000,6200000,2200000,1.16
Ain't Them Bodies Saints,Drama,4000000,1000000,-3000000,0.19
A Haunted House 2,Comedy,4000000,24000000,20000000,4.5
The Darkness,Horror,4000000,10900000,6900000,2.04
Boyhood,Drama,4000000,44500000,40500000,8.34
The Signal,Sci-Fi,4000000,2420000,-1580000,0.45
The Sweet Escape,Comedy,3800000,3300000,-500000,0.65
Dark Skies,Horror,3500000,26400000,22900000,5.66
Batman: The Killing Joke,Action,3500000,4400000,900000,0.94
Amy,Biography,3400000,22000000,18600000,4.85
